",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
Night on Earth,"Drame/Comédie ‧ 2h 9m 7,8/10",1991,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1LFatby4PGtKg6vngD9MVg0Vw5D5iVSAeww,
Slacker,"Drame/Comédie dramatique ‧ 1h 45m 7,1/10",1991,America,Richard Linklater,yes,https://drive.google.com/open?id=1KUX9_zd3VvVNty0nBI3X84HsPNQr-6VlgQ,
Baraka,Film de guerre/Documentaire ‧ 1h 37m,1992,America,Ron Fricke,no dialog,https://drive.google.com/file/d/1TKzzlSw_eKfCGDSPQZrXajOsUxOgN1maQA/view,
Pulp Fiction,,1994,America,Quentin Tarantino,yes,https://drive.google.com/open?id=1z8djiHBDYe8DbopQseXK-Kc9gqh_ht5yMA,
Before Sunrise,,1995,America,Richard Linklater,yes,https://drive.google.com/open?id=1B9V6woEl0rzh5zrVBMKIJeOW8MnLUrPa3Q,
Lost Highway,"Film à énigme/Thriller ‧ 2h 15m 7,6/10",1997,America,David Lynch,yes,https://drive.google.com/open?id=1QFFMycA2AEj5Xl1p6FReMyswpOvzC7u1PQ,
Neil Young & Crazy Horse Year of the Horse,"Rockumentaire/Musique ‧ 1h 49m 6,6/10",1997,America,Jim Jarmusch,no,https://drive.google.com/open?id=1YTlUW13PDxkA62Mhybq3U21mPaq5W4LQnw,
Magnolia,,1999,America,Paul Thomas Anderson,yes,https://drive.google.com/open?id=12ebXNkJoihZ-6qkmFFhwnMXJ7z8yQMd8vw,
Sweet and Lowdown,"1999 ‧ Drame/Comédie dramatique ‧ 1h 35m 7,3/10",1999,America,Woody Allen,yes,https://drive.google.com/open?id=1VEbGtWAyCk_FoZpTm4dOzPjqCcwnX6Rh8g,
Gosford Park,"Drame/Film à énigme ‧ 2h 17m 7,3/10",2001,America,Robert Altman,yes,https://drive.google.com/open?id=1oAbJMYs0L0ZbTkYGxWXTUt8ypGRoXvmXiQ,
Mulholland Drive,,2001,America,David Lynch,yes,https://drive.google.com/open?id=1RvBfbJ1d_pg0AjHhdXh_6UHYdcyOwFE1_A,
Waking Life,7.8  Fantasy/Drame ‧ 1h 41m,2001,America,Richard Linklater,yes,https://drive.google.com/open?id=14P6IaMqDcJYrCo6Dxc9QMW7SSdpi2fxczg,
Coffee and Cigarettes,"Drame/Genre musical ‧ 1h 35m 7,1/10",2003,America,Jim Jarmusch,yes,https://drive.google.com/file/d/1miyrnr0n1qedNH8bbfkaQyshU52ezhg3Pw/view,
Elephant,,2003,America,Gus Van Sant,yes,https://drive.google.com/open?id=1RVeOkXYchCxoAUrKXBwOdd_2HtuDY7CXYg,
In the mirror of Maya Deren,,2003,America,Maya Deren,yes,https://drive.google.com/open?id=1eI5XJYw1Se5hACeSt-f1GnFJmgjJaQ6evw,
Before Sunset,,2004,America,Richard Linklater,yes,https://drive.google.com/open?id=1XcDsXMM3KGR2UwFajCzZiLZQQKtiOZ9gmA,
Fahrenheit.9.11,,2004,America,Michael Moore,yes,https://drive.google.com/open?id=1492Vs8pskfy7bA8H8y1nB_0Thkd4eeVk8Q,
Broken Flowers,"Drame/Film à énigme ‧ 1h 46m 7,2/10",2005,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1Ugqz5E3l254wu38g-IEffbJSJ5k4QYNFAQ,
Inland Empire,7,2006,America,David Lynch,yes,https://drive.google.com/open?id=1oCx9aDikkJMoyAbAsWIUHiLh-EsBEW43Lw,
Idiots and Angels,animation,2008,America,Bill Plympton,no dialog,https://drive.google.com/file/d/1rSGxujBDD0oqnB0O8Y5wyqpgHnFpljY6kA/view,
The Wrestler,,2008,America,Darren Aronofsky,yes,https://drive.google.com/open?id=1iUBjNBUhyncLhtErgps_Ut4x4xz77UmqSg,
The Limits Of Control,6.3,2009,America,Jim Jarmusch,yes,https://drive.google.com/open?id=19b4ccbxEfqnQSZ_w8epncwBBXWN1anXK1A,
Somewhere,,2010,America,Sofia Coppola,yes,https://drive.google.com/open?id=1I3QgQhzfuB3PWkxOOT7kjbFu1hsoPDp_mw,
Samsara,"Musique/Documentaire ‧ 1h 42m 8,5/10",2011,America,Ron Fricke,no dialog,https://drive.google.com/file/d/100Ho0HXzzTJ05COTepsTrRONLM38hyhWUA/view,
The Tree of Life,,2011,America,Terrence Malick,yes,https://drive.google.com/open?id=18grJWNXNTiipJUDq8_TFkBWHsUYaHPo5kA,
Before Midnight,,2013,America,Richard Linklater,yes,https://drive.google.com/open?id=16pp4B4kNhr2W-O8zynXOLF4UShQjVUXjUw,
Only Lovers Left Alive,"Drame/Cinéma de fantasy ‧ 2h 3m 7,3/10",2013,America,Jim Jarmusch,yes,https://drive.google.com/open?id=1w0JyOV7CoHD-gZqsjnON8JXPLOWzQ5uynw,
Cameraperson,"Documentaire ‧ 1h 43m 7,4/10",2016,America,Kirsten Johnson,yes,https://drive.google.com/open?id=1-cK37wuoxiguvyvP8vrRqvRmw6q2FTG1Hg,
The Official Story,,1985,Argentina,Luis Puenzo,yes,https://drive.google.com/open?id=1lVHBZH3lXaM3FcykSmfZG4UO_-4aleaFZQ,
La libertad,,2001,Argentina,Lisandro Alonso,yes,https://drive.google.com/open?id=1waEQSjbJJnxxN3XA9PzouXsV-u7GqLbELQ,
Los Muertos,,2004,Argentina,Lisandro Alonso,yes,https://drive.google.com/open?id=1W7znbXTFmjSSA9zK0i3UbZGtAfMW1fLaPQ,
Fantasma,,2006,Argentina,Lisandro Alonso,yes,https://drive.google.com/open?id=1wyTmLMa5ic9h99P2FBOMcMou8PStP9AhVQ,
Liverpool,,2008,Argentina,Lisandro Alonso,yes,https://drive.google.com/open?id=1d3CfYW4tBb0QpxGDK6_XhFHyg4yjBgME5g,
The Secret In Their Eyes,,2009,Argentina,Juan José Campanella,yes,https://drive.google.com/open?id=1StbO37kg9YJf2wFCme3S3IvOixj-gBjWuA,
Sidewalls,,2011,Argentina,Gustavo Taretto,yes,https://drive.google.com/open?id=1dMLzf3Exc4zkfD_SKJLilD1Td4j8sYhnrw,
The Clan,,2015,Argentina,Pablo Trapero,yes,https://drive.google.com/open?id=1K9srVGmsbCZQw3MTZDMbbxT4-GQrK24Hvg,
The Piano,,1993,Australia,Jane Campion,yes,https://drive.google.com/open?id=1BqyPCgQ06SwcrNRGWrioCFlF8FAzO30sxg,
Mary and Max,,2009,Australia,Adam Elliot,yes,https://drive.google.com/open?id=17mf_XNo5BLo5cfyeKI6Dbc7-6HD3FkNYNQ,
"Lemmings, Part 1 – Arcades",,1979,Austria,Michael Haneke,no,https://drive.google.com/open?id=1MfMkEsFOm1dW6wckHAcZMmzOl1EuGSGbSA,
"Lemmings, Part 2 – Injuries",,1979,Austria,Michael Haneke,no,https://drive.google.com/open?id=1NV1qFheiTI2wZQhUm3etl7aDgtukT4nWIA,
Variation,,1983,Austria,Michael Haneke,no,https://drive.google.com/open?id=10JidzF-crH2Bb1h1EhgwP8kcVUUnbLu_3g,
Fräulein,,1985,Austria,Michael Haneke,no,https://drive.google.com/open?id=1ud5HkHPb9_24o8IYN5c15JbgFT8IY0R_VA,
The Seventh Continent,,1989,Austria,Michael Haneke,yes,https://drive.google.com/open?id=1c5CjnfHlcB16mSFCH8K9f6n--WqZng5HHQ,
71 Fragments of a Chronology of Chance,,1994,Austria,Michael Haneke,yes,https://drive.google.com/open?id=1nqbWxr-a7B2CyTjHkcNZWLEBPQZfTQ8itw,
The Piano Teacher,,2001,Austria,Michael Haneke,yes,https://drive.google.com/open?id=12nCD7nSc93lAFwzjBhrRK8jvSOppApHcNw,
The Counterfeiters,,2007,Austria,Stefan Ruzowitzky,yes,https://drive.google.com/open?id=1naFBoh9dBzIFsLn6KhTKP1dQ5LgAmRKWlw,
The White Ribbon,,2009,Austria,Michael Haneke,yes,https://drive.google.com/open?id=1jISDyhO0-4eblZz6FeQ7xkeG1c5otvZIRA,
Amour,,2012,Austria,Michael Haneke,yes,https://drive.google.com/open?id=1mCV5PWhVeXWoeg-sIZ8T7jynfTgl6x5SCA,
Cosi Fan Tutte,,2013,Austria,Michael Haneke,no,https://drive.google.com/open?id=1Q2k1fCH9l3MCvd-a-lz1l8Dkx2ope6RKpg,
Hotel Monterey,,1972,Belgium,Chantal Akerman,no dialog,https://drive.google.com/open?id=1uxYNq_NQRCwJBaXlqLiuXQPxv-_pvJzNVQ,
"Je, Tu, Il, Elle",,1974,Belgium,Chantal Akerman,yes,https://drive.google.com/open?id=1nuQgxP1FQrFgAHfWM1wFFfGU07epWZ7ktg,
