",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
The Umbrellas of Cherbourg,,1964,France,Jacques Demy,yes,https://drive.google.com/file/d/1NdwTamx5jpIryrq4zHlqhAMv_TQZ49NVpA/view,
Alphaville,,1965,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1KUasztvQ4KBMesahkB1zIxlI4CcRU3m91g,
Le Bonheur,,1965,France,Agnès Varda,yes,https://drive.google.com/open?id=1eEXxvF0J-o3OotzUO_SR3vJ2ujxf9xGrYA,
Pierrot le Fou,,1965,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1Gvrt-Zr2HVEqxjT3q6A3HsSliYSUUOPs_Q,
Repulsion,,1965,France,Roman Polański,yes,https://drive.google.com/open?id=1CjZqOVED0mYViOhyDGcMan5_y-AgIerfQQ,
A Man and a Woman,,1966,France,Claude Lelouch,yes,https://drive.google.com/open?id=1jNNOf-GJFm5Qsef1ku9CnqdP-ZVTi75xqw,
Au Hasard Balthazar,,1966,France,Robert Bresson,yes,https://drive.google.com/file/d/0B6bSHUx2TGPNaFd6WjcwLXhRdzA/view,
Cul-de-sac,,1966,France,Roman Polański,no,https://drive.google.com/open?id=12Dr1Yyo94Em_AJ8Mw3Ullcl41VzEZKW78g,
Fahrenheit 451,,1966,France,François Truffaut,yes,https://drive.google.com/open?id=1M4X3kcP2L2bf76ZRAkzmI1eGd5vqLPPBdQ,
La Religieuse,,1966,France,Jacques Rivette,yes,https://drive.google.com/open?id=1eyZr8Y5G8ekx8wJvCocYm-PwFUoq5EVNGg,
Le Deuxième Souffle,,1966,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=16kKfG3tc6ZHhbxEI_4ex-QLpWl0fmRWNOA,
Made in U.S.A,,1966,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1tSRVC-AGw_fmle8PMfkzzYQFO6qrWayyyg,
Masculin Féminin,,1966,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1i95hx1dXQfE35NgdI5O4nVVzCLQaJnuDDQ,
The Creatures,,1966,France,Agnès Varda,yes,https://drive.google.com/open?id=1Xb3aLGeKsKtUmWxeFjyjzaUKc1_Ht0J9jg,
Trans-Europ-Express,,1966,France,Alain Robbe-Grillet ,no,https://drive.google.com/open?id=1C50-GkfBlxEX18C2FWcGFsJqqKewaakQ7A,
2 or 3 Things I Know About Her,,1967,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1qHrVhNvfrANJAZBr-r2vsfIS9Bv6wANKsQ,https://drive.google.com/open?id=1nlBFKXrOc_5x3ZTrRybSMpq4BYOSPr3z8Q
Far from Vietnam,,1967,France,Agnès Varda,no,https://drive.google.com/open?id=1AS_qZ_3B7Ep00fUuD3NcEULclqyvaVSWtg,
La Chinoise,,1967,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1YJTB4YOFo4XBF2Q-bT_ZcnJALwFfvHU1UQ,
La Collectionneuse,,1967,France,Éric Rohmer,yes,https://drive.google.com/open?id=1yLecRZogbov3uR_YjuwBN6IBP4yiMCpAYg,
La musica,,1967,France,Marguerite Duras,yes,https://drive.google.com/open?id=10eyBBSQPKk9qoubsEAaexpTvjLCVkzfbEg,
Le Samourai,,1967,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=19Lh4u8Pp54__cVY8JpoKubplqmnVggdb3w,
Mouchette,,1967,France,Robert Bresson,yes,https://drive.google.com/open?id=128R5ti3YjCQn19qaGyJd80_lu3bgH146ZA,
Playtime,,1967,France,Jacques Tati,yes,https://drive.google.com/open?id=1EQfT1wg1qucTbh1FHyEL_RhneMQcPi-0sw,
The Thief of Paris,,1967,France,Louis Malle,yes,https://drive.google.com/file/d/1ITB6LCVpQOg2Ym_wa_uPySLcBr9f7SOdWQ/view,
The Two Of Us,,1967,France,Claude Berri,yes,https://drive.google.com/open?id=16PA6bBWe-7g2BtlsOQSWqTBs3Mb4YJz3Ig,
The Young Girls of Rochefort,,1967,France,Jacques Demy,yes,https://drive.google.com/open?id=1B6Q63W7h5eoad41lpHr_Lr4alsURbL-xAg,
Uncle Yanco,,1967,France,Agnès Varda,no,https://drive.google.com/file/d/0BwXDyXF3Y2kOZ1BfOVE2dW9tODg/view,
Weekend,,1967,France,Jean-Luc Godard,yes,https://drive.google.com/open?id=1njbzdfD2j5hqbW2lzLGcJWXzsnb6xrBnJQ,
A Film Like Any Other,,1968,France,Jean-Luc Godard,no,https://drive.google.com/open?id=1Be90qTfnz8s6uEY2_wn3TCmH_WQ14sF15g,
"Je T’aime, Je T’aime",,1968,France,Alain Resnais,no,https://drive.google.com/open?id=1XnH97GLf2_xlRqnQ3_SrReGeCH7ialeawA,
Le révélateur,,1968,France,Philippe Garrel,no dialog,https://drive.google.com/open?id=11m2Ttb3Odpzn8pWvdg13hMfUNNn1GwZJSA,
Rosemary's Baby,,1968,France,Roman Polański,yes,https://drive.google.com/open?id=1zC4JWAo4bUiANwe0BUI4DH--HrfckmG78Q,
Stolen Kisses,,1968,France,François Truffaut,yes,https://drive.google.com/open?id=1Ptm9in_8ojcq6UYuOdvj6Eqg0VG4Yjki4g,
The Bride Wore Black,,1968,France,François Truffaut,yes,https://drive.google.com/open?id=1FtxGsZ5XmUDBdGk7ZXxrwLVZhLoFM8uMQQ,
A Gentle Woman,,1969,France,Robert Bresson,yes,https://drive.google.com/open?id=1WzHoOsh6rsJJPuQkwwbPguVQaiJEJVHJYA,
Army Of Shadows,,1969,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=1Ll3t94ulKzBJPkrQt4uQlqj60TCLZzQDQQ,
"Destroy, She Said",,1969,France,Marguerite Duras,no,https://drive.google.com/open?id=1lPwg5DiTPieADtVJ0jUuGtWkZHgD9M861w,
My Night at Maud's,,1969,France,Éric Rohmer,yes,https://drive.google.com/open?id=1aHUWADPIVvnQxEEqaEi5NW85T0w0QZS1-Q,
Z,,1969,France,Costa-Gavras,yes,https://drive.google.com/open?id=1PmZ59uk5RoARJprrW0R_8i5qeENm-wSwSg,
Claire's Knee,,1970,France,Éric Rohmer,yes,https://drive.google.com/open?id=1G2kUyZUrLXhCDlhOlp7RNh3iiY7IEyMo6g,
Donkey Skin,,1970,France,Jacques Demy,yes,https://drive.google.com/file/d/1DDm0tDDpOoQvEr9fzobJ6IaMwoZooK6R/view,
Le boucher,,1970,France,Claude Chabrol,yes,https://drive.google.com/file/d/1B5PZbJXtBhaOq6X-IvhOxByYgPfEFdLPTw/view,
Le Cercle Rouge,,1970,France,Jean-Pierre Melville,yes,https://drive.google.com/open?id=1mewmCT8KftlXS4nlIE-0Jfc3XE86aCwK_w,
Four Nights of a Dreamer,,1971,France,Robert Bresson,yes,https://drive.google.com/open?id=1750DGH6s9rFgrVDuf2ToPW33U0J5qXWqQw,
Out 1 E1,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1zd-7-CEmngqxP1rdTLDAYPiUfJGq0mcZjw,
Out 1 E2,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1LokiX0_8ZCpYks_XapbSRJ513NiRgFvD5A,
Out 1 E3,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1wuncayb02KAzGEZVYpb36ZsigYOytkoucg,
Out 1 E4,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=18L_obgTi2xdPQDEpNtR7q9BYhtLkabRGwA,
Out 1 E5,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1k1Joi8d01nPGdhlDrpFxq424815G1eqCZQ,
Out 1 E6,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1Ezq3n0tXkDJjCrnETvQxsu1k74bq8CTvbw,
Out 1 E7,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1x6BDJZioNVZ59evr6KEmqWYyBra0uYmOhw,
Out 1 E8,,1971,France,Jacques Rivette,no,https://drive.google.com/open?id=1zmfMj3GtBZZ5Nhc491hxzNeBBVArJQDBcQ,
The House in the Woods E1,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1HF07iq_qWGJqUyC7VyffC3grHOqvvaMsew,
The House in the Woods E2,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1zjozDIaQkljOeSqjGOsB_MWtDfBF1mAByw,
The House in the Woods E3,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1rV7UhpnKnLGSS_7a6mxkf4fESQspoaj87w,
The House in the Woods E4,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1wr3xCx5A9rB34b3fOAVKS8Jq8KLgXV-iSg,
The House in the Woods E5,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1CkZmjLcAPzQPAis6R3ABvCFygu5j3mXv1g,
The House in the Woods E6,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=1wxmBow6GQYHSQ4CHwmn56BoGBda7msfTNA,
The House in the Woods E7,,1971,France,Maurice Pialat,no,https://drive.google.com/open?id=10zQK2EQnt1Bhk3jSWDPKvrtxGBSDA791kQ,
Trafic,,1971,France,Jacques Tati,yes,https://drive.google.com/open?id=1RyB1AzxktHceDFNbwTfvtNURj5dbV-M6Fg,
Love in the Afternoon,,1972,France,Éric Rohmer,yes,https://drive.google.com/open?id=16-Ey38JNymXVrTvEcUKrVevm0hAc-Sn7IA,
Nathalie Granger,,1972,France,Marguerite Duras,no,https://drive.google.com/open?id=12vTS8eOyJgj4Z-AzJhSpBUZ6dKSH7znRFA,
State of Siege,,1972,France,Costa-Gavras,yes,https://drive.google.com/open?id=1r8fhsP_yxH1t4oLMPY59r3Fvm2yanhPC2w,
We Won’t Grow Old Together,,1972,France,Maurice Pialat,yes,https://drive.google.com/open?id=1wiidt_EB7udo2736qkwzZRVhQVNOOfdjdA,
Day for Night,,1973,France,François Truffaut,yes,https://drive.google.com/open?id=1Od0cnpRuEEs-lFdqBiBiW2Z8j40nNCrR7A,
The Last Train,,1973,France,Pierre Granier-Deferre,yes,https://drive.google.com/open?id=1BrXg9LeA2-KVvQHsKSEmjMIgwRcvpnZLvQ,
The Mother And The Whore,,1973,France,Jean Eustache,yes,https://drive.google.com/open?id=1390UglyV2PxZ18XoGTR-xn2nYqJuIQMGkg,
Celine and Julie Go Boating,,1974,France,Jacques Rivette,yes,https://drive.google.com/open?id=1NNY_dyNj9Pxp83kdmO6agvkG8vTblEeSWw,
Lancelot of the Lake,,1974,France,Robert Bresson,yes,https://drive.google.com/open?id=11OFGm3IFFZMU2Wx9-eeuTcsoJmd3oc8KZQ,
Les Hautes Solitudes,,1974,France,Philippe Garrel,no dialog,https://drive.google.com/open?id=1v_DQ2palsGV7yeNhF_47fVbmHXIsDONyHQ,
Parade,,1974,France,Jacques Tati,no,https://drive.google.com/open?id=1CdNYf9AEjCot9z4Y-DJPXuo2OP9dBRzH_w,
The Man Who Sleeps,,1974,France,Bernard Queysanne,yes,https://drive.google.com/file/d/1msfu3oCNc9q_igwdNxfcxGLe2NVEEqaxnQ/view,
The Mouth Agape,,1974,France,Maurice Pialat,yes,https://drive.google.com/open?id=1b3uwtWX68QbwMw_8YTNohnIUsCo4WAKBKQ,
Woman of the Ganges,,1974,France,Marguerite Duras,no,https://drive.google.com/open?id=1Ja4_PRS5MHrLlsWVOP9YB-IaxZpNhwafew,
Daguerréotypes,,1976,France,Agnès Varda,yes,https://drive.google.com/open?id=1hW0j6KFOATdfKgADsx5N3YZosMbCP-pgDA,
Duelle,,1976,France,Jacques Rivette,no,https://drive.google.com/open?id=1H1FQhkrsdTSwoEyTa7N0PLv1mTbAhkCrUA,
Jean-Jacques Annaud,,1976,France,Jean-Jacques Annaud,yes,https://drive.google.com/open?id=1qY98vUcCOuGLmUPai_EXCVncbqBW63gYzQ,
The Tenant,,1976,France,Roman Polański,yes,https://drive.google.com/open?id=1TwB4Tu0-09-QrfQ_L-3jYMsz32ikwKIWjQ,
"The Devil, Probably",,1977,France,Robert Bresson,yes,https://drive.google.com/open?id=1kHS3Dy3L5je5eJDjY3yGV5M_0CaHqaxIPA,
Get Out Your Handkerchiefs,,1978,France,Bertrand Blier,no,https://drive.google.com/open?id=1H7Jy16XdU1yBhPhWC3PvpEmXZeNAFlM4gA,
New old,,1979,France,Pierre Clémenti,no,https://drive.google.com/open?id=1kQEK875_2exCdS01iKJbx-RC8VenClm0xw,
Atlantic City,,1980,France,Louis Malle,yes,https://drive.google.com/open?id=1Gex8asGkUbzAM3tcp4JwBhD9KKhbWAGKiA,
Le Pont du Nord,,1981,France,Jacques Rivette,no,https://drive.google.com/open?id=1YAI7t865Q-fTTXlUVZ5aSoq9mRvjHoutJQ,
Missing,,1982,France,Costa-Gavras,yes,https://drive.google.com/open?id=1PN-AeaRdsSH15EF6ESyo-KBDm8HeGHmNcw,
Ulysse,,1982,France,Agnès Varda,no,https://drive.google.com/file/d/1xfRpCow6d4hk8seZyDpd1Mfn85NqcmZM_w/view,
Une Chambre En Ville,,1982,France,Jacques Demy,no,https://drive.google.com/open?id=1mIRiEkiFM1fJP9F0McIzpA8q6tI-I_U-jA,
First Name Carmen,,1983,France,Jean-Luc Godard,no,https://drive.google.com/open?id=1j7NWv_lflcWPP8MHtF7CS_PlxknYjWDfSQ,
L’argent,,1983,France,Robert Bresson,yes,https://drive.google.com/open?id=1anOdxtUs0JgTdOlt8hDkIcFQ4N1unnkdJw,
Sans Soleil,,1983,France,Chris Marker,yes,https://drive.google.com/open?id=12dHuebe-QnBYt3r2YdS6axr86wvjLHZTJQ,
Class Relations,,1984,France,Danièle Huillet,no,https://drive.google.com/open?id=1ksgQk-s4cfWJyI-ieOusDl8-xeTvazEgXw,
Class Relations,,1984,France,Jean-Marie Straub,no,https://drive.google.com/open?id=1ksgQk-s4cfWJyI-ieOusDl8-xeTvazEgXw,
Dangerous Moves,,1984,France,Richard Dembo,yes,https://drive.google.com/open?id=1qvO4NcbIAtd8mPen1nU6Tyl0qYaMBG18lg,
A.K,,1985,France,Chris Marker,no,https://drive.google.com/open?id=1JI0U4zaqHH95-v2eOUVC25TiC59Kq5GHjA,
Empty Quarter A Woman in Africa,,1985,France,Raymond Depardon,yes,https://drive.google.com/file/d/1_x5D2tKpO4caBxsEsL_FmrdGsrzRPNXsZg/view,
Police,,1985,France,Maurice Pialat,yes,https://drive.google.com/open?id=1GIaiaaW_7ack9C1d332BbdsKvYsWMYZ9Qw,
She Spent So Many Hours Under the Sun Lamps,,1985,France,Philippe Garrel,yes,https://drive.google.com/open?id=1w0IK8LW1osQWTccnxvV2xOsFuegAkPXpVA,
Vagabond,,1985,France,Agnès Varda,yes,https://drive.google.com/open?id=1MZ1crLRvch1aDXwo8n4a-urXi8AjBTILKg,
In the Shadow of the Blue Rascal,,1986,France,Pierre Clémenti,no,https://drive.google.com/open?id=1Qmxe255OSm51qmpL79JwwVQvdkljk-TyQA,
Mauvais Sang,,1986,France,Leos Carax,yes,https://drive.google.com/open?id=1G3jxoSdTgCr3WtBVnA3bLvLHzBuynYxMyw,
The Green Ray,,1986,France,Éric Rohmer,yes,https://drive.google.com/open?id=1EESoi8fnU3U2ukKoRQfd1ujL95lRNPDuSQ,
Au Revoir les Enfants,,1987,France,Louis Malle,yes,https://drive.google.com/open?id=1VhpDEcvHfLuMh5z5dzKxkqDJ8cMyCSC7sA,
Under the Sun of Satan,,1987,France,Maurice Pialat,yes,https://drive.google.com/open?id=1VTsUSxZdUv-jMlSGiC43-IaT29i1xJA-7A,
Kung-Fu Master!,,1988,France,Agnès Varda,no,https://drive.google.com/open?id=1b-BMD1GCfCwZoZ2RlsAvvQR4PKOxS53m-w,
Soleil,,1988,France,Pierre Clémenti,no,https://drive.google.com/open?id=1da3Cxlte0biuUMVUZuvLih5MteMIEEMvzA,
Story of Women,,1988,France,Claude Chabrol,yes,https://drive.google.com/file/d/1_h8F3okywWd25Jz8Um-Nbke8xZcaU5s4hw/view,
Monsieur Hire,,1989,France,Patrice Leconte,yes,https://drive.google.com/open?id=1gvGPyOgsjvmvEru9fBW-iZvLlrKZ_hdrZg,
Music Box,,1989,France,Costa-Gavras,no,https://drive.google.com/open?id=1hv8H49tYfp9kO28-0ZkRDsRW1cvfUKu3nA,
Jacquot de Nantes,,1991,France,Agnès Varda,no,https://drive.google.com/file/d/1C4g5f_VMb3mK8IAXY6-hBHNjs0ng-WiHpA/view,
La Belle Noiseuse,,1991,France,Jacques Rivette,yes,https://drive.google.com/open?id=1Z8AlyL8Kb2WtYN6GaAMik5z7ku_I29JiSg,
Van Gogh,,1991,France,Maurice Pialat,no,https://drive.google.com/open?id=1usF5zzLFhpYz3OBaVybro7U1AefsrmkyDg,
Indochine,,1992,France,Régis Wargnier,no,https://drive.google.com/open?id=1sLsJPPpHC1f4Qy2SBbNLsePOKd2Sy0y4ew,
La Belle Noiseuse,,1992,France,Jacques Rivette,yes,https://drive.google.com/open?id=1TknsXuv_mKg5ESh6CJdfBxeYxBhbIW3j9A,
Germinal,,1993,France,Claude Berri,yes,https://drive.google.com/open?id=1IVNK2YoA7z8kB69tJNcCpdkjdtL7YmeZSA,
La Belle Noiseuse,,1993,France,Jacques Rivette,yes,https://drive.google.com/open?id=1pjb7Hds0uLMt5Fl92KBDhv74AbacKULFBQ,
The Young Girls Turn 25,,1993,France,Agnès Varda,no,https://drive.google.com/open?id=1-7e0mJM-0o51wdanjwiimMlp1gTIGBX4Yw,
L Enfer,,1994,France,Claude Chabrol,yes,https://drive.google.com/open?id=1twIQ1txlTd6uGENZLiGLUXXqTWrzRMtKCQ,
U.S. Go Home,,1994,France,Claire Denis,no,https://drive.google.com/open?id=1b3IUfFrI2G7akK1yh50ZP4uvP7v0ntWpVw,
La Ceremonie,,1995,France,Claude Chabrol,yes,https://drive.google.com/file/d/1e2IZZF6cqsTPhSnmibpJTuI8RIRzi7IhrQ/view,
Ridicule,,1996,France,Patrice Leconte,yes,https://drive.google.com/open?id=1-S0hzc_uNXXHPmYyHkmG_O0SCrcKE-CXeQ,
The Girl on the Bridge,,1999,France,Patrice Leconte,yes,https://drive.google.com/open?id=1ujtvbYweCMxyf7A8cSE9WYzXK35vJkHv8g,
Poetical Refugee,,2000,France,Abdellatif Kechiche,no,https://drive.google.com/open?id=1ayGGpGQkK_gurrX-t-8kLPHJIfidykokWg,
The Gleaners & I,,2000,France,Agnès Varda,yes,https://drive.google.com/open?id=1EQ5XVvzvLRFR_rZV1isYx74AMFg3ROpAAw,
Trouble Every Day,,2001,France,Claire Denis,yes,https://drive.google.com/open?id=1gPD98NY9-tjOVYGHmV51upaUQWSG8qeyVw,
Tati Story,,2002,France,Jacques Tati,no,https://drive.google.com/open?id=1zHws_W7jePVljn94GjD8RuPc1K0yl1MWSA,
The Pianist,,2002,France,Roman Polański,yes,https://drive.google.com/open?id=1yzNnpXcl80YxdSN0cS2ELy6nxfPQ3PCxnw,
Games of Love and Chance,,2003,France,Abdellatif Kechiche,no,https://drive.google.com/open?id=1WbphqGQxY4-vboDMz1dXtpY09cFNdMPBaQ,
Twentynine Palms,,2003,France,Bruno Dumont,no,https://drive.google.com/open?id=1GAP6sUiCVvnWcHcbmxDKtwGRg8DyP87Zjw,
The Secret of the Grain,,2007,France,Abdellatif Kechiche,yes,https://drive.google.com/open?id=1xd0_zh2NoKIbTGlNFcn22onCZ24IfahFcg,
_The Class,cannes 2008 ,2008,France,Laurent Cantet,yes,https://drive.google.com/open?id=1w7aA70I9dWPHPFpUWXO2tFEwYMfN7NglJQ,
Sweat,,2008,France,Abdellatif Kechiche,no dialog,https://drive.google.com/open?id=1nNXN8IBqHEDolg2Mre89dO6SepFE0pQRTA,
The Beaches of Agnès,,2008,France,Agnès Varda,yes,https://drive.google.com/open?id=1IY8kYgW8u_WSNlmi-AvwrlQIB6oplwO4fg,
The Magnificent Tati,,2009,France,Jacques Tati,no,https://drive.google.com/open?id=1OWR3SLGMm_zdCrhzG5Qpn1bBoE9IVTh2Bw,
Bastards,,2013,France,Claire Denis,yes,https://drive.google.com/open?id=1CkZdfsuQOfMHywvA-KkV5TjYrUjIxD1nqQ,
Blue Is the Warmest Color,,2013,France,Abdellatif Kechiche,yes,https://drive.google.com/open?id=1_iNYthSxFXmGX2ggQKUDAuXhd6eBXO4ZkA,
Professor Goudet Lessons,,2013,France,Jacques Tati,no,https://drive.google.com/open?id=11ceok54HZLN4NCQav8hJFQgULVv5VEq_oQ,
Dheepan,,2015,France,Jacques Audiard,yes,https://drive.google.com/open?id=1cY5dqlPolyKEf2OZEc_mKECrmPyKE17WpA,
Faces Places,,2017,France,Agnès Varda,yes,https://drive.google.com/open?id=1cZIFnmeSWMsd5rmdlrl8Te08vW0rkRfaRA,
There Once Was a Singing Blackbird,,1970,Georgia,Otar Iosseliani,yes,https://drive.google.com/open?id=1Kb-zRBh3eFsCKUbZUtbELptJYEVenesR1w,
Artists Under the Big Top Perplexed,,1968,Germany,Alexander Kluge,no,https://drive.google.com/open?id=1iUA_PYxpSBs_NvI_ZXOvoomrLJbQCVpl3A,
Katzelmacher,,1969,Germany,Rainer Werner Fassbinder,no,https://drive.google.com/file/d/18lr6tVGSZhqqHhrcapYy3kSqC0UWV-lZvQ/view,
Love Is Colder Than Death,,1969,Germany,Rainer Werner Fassbinder,no,https://drive.google.com/open?id=14ju_k4_-Zf-3guivGWLXl2OslvNROHIz0w,
Baal,,1970,Germany,Volker Schlöndorff,no,https://drive.google.com/open?id=1V9b_J0kJioHU21hTSwKnrHN7i5gmiaOKzQ,
Land of Silence and Darkness,,1971,Germany,Werner Herzog,yes,https://drive.google.com/open?id=1-S5ZqeCXMA_Uo-EF79lTbzM6_I777jIXiw,
Pioneers in Ingolstadt,,1971,Germany,Rainer Werner Fassbinder,no,https://drive.google.com/file/d/1PT2TIC1IeR4KaCSDdmn1OOd2wQkoIejeMA/view,
Aguirre The Wrath Of God,,1972,Germany,Werner Herzog,yes,https://drive.google.com/open?id=1Qw4IHRIDD5bBYTl_sBPJC-2mhIRDhQon6g,
The Bitter Tears of Petra von Kant,,1972,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1WD0nDHsnY0nKVG1X_mP8jf1Jt9ZcLonrvw/view,
Ali Fear Eats the Soul,,1974,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1dMdOCcYwLgnjO6cgOQ9CGRs643RFjlUrkQ/view,
Alice in the Cities,,1974,Germany,Wim Wenders,yes,https://drive.google.com/open?id=1Tu2KWRkgATzly7yA9pSTX3TrLyYB73Wc7A,
The Enigma of Kaspar Hauser,,1974,Germany,Werner Herzog,yes,https://drive.google.com/open?id=1xBiwRcIDJcx6hHFEbqPvp_BaUVnN7Mytjg,
Wrong Move,,1975,Germany,Wim Wenders,yes,https://drive.google.com/open?id=1Jt3OuB5C3BBvfxFIs2S22b0j3dbMiXLXmw,
Heart of Glass,,1976,Germany,Werner Herzog,yes,https://drive.google.com/file/d/0B6bSHUx2TGPNUy1QbTZvS1BkV2M/view,
Kings of the Road,,1976,Germany,Wim Wenders,yes,https://drive.google.com/file/d/1LtgxsxAyaq0jc1ia2j_LRtrAb1HviXqMPA/view,
The American Friend,,1977,Germany,Wim Wenders,yes,https://drive.google.com/open?id=1oN7DNuXyVhyWTXTB3t3dxEvnp7csaJtBZw,
The Marriage of Maria Braun,,1979,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1KAAdWzEqeFmt-Q1FbN_sQ8gSpa_GD9DuTg/view,
The Tin Drum,,1979,Germany,Volker Schlöndorff,yes,https://drive.google.com/open?id=1WB-cZV9JXQ_kIJUEYwXCbGdvREd6tRNuVA,
Berlin Alexanderplatz E1,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/open?id=1vT9L_Veuz42mAARxbMcz1WG9zcucNq8cIw,
Berlin Alexanderplatz E10,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1q9k8VGq5Bd5BRSnVa0qrjxKqTjHI54ONcQ/view,
Berlin Alexanderplatz E11,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1RL6G-L3bEKpD5BdO5syje2EW0m63NYfP7w/view,
Berlin Alexanderplatz E12,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1URpDYRqwEDHDr-_VDhGRJhnWxinYO5XYcg/view,
Berlin Alexanderplatz E13,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1cHpIoXmyWFm_yJ_TrZe1NH7y5T60wbE5NQ/view,
Berlin Alexanderplatz E14,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1WrOpcabQgG0i7kCIYF0aE9witew8LcnxaQ/view,
Berlin Alexanderplatz E2,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/11Y__5VeCoY4CvXVtw1-pg2thVkRyrlz1eQ/view,
Berlin Alexanderplatz E3,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1hmGZA5FxyL0V5vvCD3vAgLhwL-RnBdGtQg/view,
Berlin Alexanderplatz E4,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1YoDUwnFYYk_Iv-t7eEk3t2MANtG47FGqbQ/view,
Berlin Alexanderplatz E5,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1ZjQuwwv18ER2e7VGEoM68LNrrbMErWYp1w/view,
Berlin Alexanderplatz E6,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/123lL_Fa-ioad8rGERK89OD3yXvEHH0BWVw/view,
Berlin Alexanderplatz E7,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1hU63iik9cTrl5Y6en8rl8Rfol0FIud0jiA/view,
Berlin Alexanderplatz E8,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1aIV9jHTJjO2JgDBKSk5chkL45QDCEJq6IA/view,
Berlin Alexanderplatz E9,,1980,Germany,Rainer Werner Fassbinder,yes,https://drive.google.com/file/d/1Ytpn3FjeA44tegtllEQLhSK3gZiFIl3YbA/view,
Notes on the Making of Berlin Alexanderplatz,,1980,Germany,Rainer Werner Fassbinder,no,https://drive.google.com/open?id=15oTrF9OrWKE7RSppolk663STwZ9rB_EiDA,
Palermo or Wolfsburg,,1980,Germany,Werner Schroeter,no,https://drive.google.com/open?id=1xDcNjKpjAtWSlx4JG7GJVVpQ_iiWWG-INA,
Marianne and Juliane,,1981,Germany,Margarethe von Trotta,yes,https://drive.google.com/open?id=1kcTsX__ve9Rxt4BTWAURdEJKKkXD9wSMgA,
The State of Things,,1982,Germany,Wim Wenders,yes,https://drive.google.com/open?id=1_9LX4jPJojW815BaoP3PiBo5WCf4hcHqFw,
"Paris, Texas",,1984,Germany,Wim Wenders,yes,https://drive.google.com/open?id=12acnp_oUV_ttazwF8TRa0lPZbp-lotPkuw,
Tokyo-Ga,,1985,Germany,Wim Wenders,no,https://drive.google.com/file/d/1xQqIqPA_Fgi7FTQMZO54RtEsmbdlkFV1zQ/view,
The Baader-Meinhof Gang on Trial,,1986,Germany,Reinhard Hauff,no,https://drive.google.com/open?id=1-emflxk1vhpi4SoeKS8qwRRquXVNICkPpg,
Lessons of Darkness ,,1992,Germany,Werner Herzog,yes,https://drive.google.com/open?id=1wxH6p2-Oh5QXIhWw8r1YwpB5Rz6LmwD3kw,
Nowhere in Africa,,2001,Germany,Caroline Link,yes,https://drive.google.com/open?id=1Q4x7aWVbqgs_aHqAHGBZrI9UU076LnpShg,
Fassbinder in Hollywood,,2002,Germany,Rainer Werner Fassbinder,no,https://drive.google.com/file/d/1JfL62Qdg9kVziyZE23glU2523RMBqyjj3w/view,
The Lives Of Others,,2006,Germany,Florian Henckel von Donnersmarck,yes,https://drive.google.com/open?id=19bmzbul23I7UdfPQoC8MTJjDSTB_N-yxdA,
